FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VDS
 V A V
740 -10 -3.12817E-06 -10
741 -11 -3.35661E-06 -11
742 -12 -3.5709E-06 -12
743 -13 -3.77124E-06 -13
744 -14 -3.96054E-06 -14
745 -15 -4.13608E-06 -15
746 -16 -4.30073E-06 -16
747 -17 -4.45304E-06 -17
748 -18 -4.59524E-06 -18
749 -19 -4.72781E-06 -19
750 -20 -4.84976E-06 -20
751 -21 -4.96283E-06 -21
752 -22 -5.06668E-06 -22
753 -23 -5.16245E-06 -23
754 -24 -5.24999E-06 -24
755 -25 -5.32983E-06 -25
756 -26 -5.40238E-06 -26
757 -27 -5.46898E-06 -27
758 -28 -5.52894E-06 -28
759 -29 -5.5828E-06 -29
760 -30 -5.63203E-06 -30
761 -31 -5.67619E-06 -31
762 -32 -5.71521E-06 -32
763 -33 -5.75046E-06 -33
764 -34 -5.78218E-06 -34
765 -35 -5.81073E-06 -35
766 -36 -5.83602E-06 -36
767 -37 -5.85881E-06 -37
768 -38 -5.87886E-06 -38
769 -39 -5.89603E-06 -39
770 -40 -5.91243E-06 -40
771 -41 -5.92645E-06 -41
772 -42 -5.9389E-06 -42
773 -43 -5.95017E-06 -43
774 -44 -5.96047E-06 -44
775 -45 -5.96915E-06 -45
776 -46 -5.97788E-06 -46
777 -47 -5.98544E-06 -47
778 -48 -5.99246E-06 -48
779 -49 -5.99822E-06 -49
780 -50 -6.00365E-06 -50
781 -51 -6.00846E-06 -51
782 -52 -6.01304E-06 -52
783 -53 -6.01693E-06 -53
784 -54 -6.02076E-06 -54
785 -55 -6.02399E-06 -55
786 -56 -6.02748E-06 -56
787 -57 -6.03053E-06 -57
788 -58 -6.03318E-06 -58
789 -59 -6.03459E-06 -59
790 -60 -6.03792E-06 -60
791 -61 -6.03978E-06 -61
792 -62 -6.04256E-06 -62
793 -63 -6.04417E-06 -63
794 -64 -6.04609E-06 -64
795 -65 -6.04815E-06 -65
796 -66 -6.05046E-06 -66
797 -67 -6.0517E-06 -67
798 -68 -6.05333E-06 -68
799 -69 -6.05437E-06 -69
800 -70 -6.05653E-06 -70
801 -71 -6.05811E-06 -71
802 -72 -6.05908E-06 -72
803 -73 -6.0604E-06 -73
804 -74 -6.06209E-06 -74
805 -75 -6.06383E-06 -75
