FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VS
 V A V
621 -53 -9.81309E-06 0
622 -54 -9.82831E-06 0
623 -55 -9.84184E-06 0
624 -56 -9.85365E-06 0
625 -57 -9.86628E-06 0
626 -58 -9.87748E-06 0
627 -59 -9.888E-06 0
628 -60 -9.89614E-06 0
629 -61 -9.90519E-06 0
630 -62 -9.91397E-06 0
631 -63 -9.92122E-06 0
632 -64 -9.92956E-06 0
633 -65 -9.93611E-06 0
634 -66 -9.94238E-06 0
635 -67 -9.94964E-06 0
636 -68 -9.95529E-06 0
637 -69 -9.95994E-06 0
638 -70 -9.96593E-06 0
639 -71 -9.97033E-06 0
640 -72 -9.97602E-06 0
641 -73 -9.98076E-06 0
642 -74 -9.98765E-06 0
643 -75 -9.99076E-06 0
644 -76 -9.9956E-06 0
645 -77 -9.99794E-06 0
646 -78 -1.000298E-05 0
647 -79 -1.000686E-05 0
648 -80 -1.00111E-05 0
649 0 6.7722E-09 0
650 -1 -5.39293E-07 0
651 -2 -1.0478E-06 0
652 -3 -1.54401E-06 0
653 -4 -2.01282E-06 0
654 -5 -2.46437E-06 0
655 -6 -2.89611E-06 0
656 -7 -3.31142E-06 0
657 -8 -3.70897E-06 0
658 -9 -4.09115E-06 0
659 -10 -4.45664E-06 0
660 -11 -4.80914E-06 0
661 -12 -5.14594E-06 0
662 -13 -5.46742E-06 0
663 -14 -5.7751E-06 0
664 -15 -6.06858E-06 0
665 -16 -6.34842E-06 0
666 -17 -6.61443E-06 0
667 -18 -6.86966E-06 0
668 -19 -7.10997E-06 0
669 -20 -7.33966E-06 0
670 -21 -7.55504E-06 0
671 -22 -7.75989E-06 0
672 -23 -7.96665E-06 0
673 -24 -8.15744E-06 0
674 -25 -8.33513E-06 0
675 -26 -8.50037E-06 0
676 -27 -8.65558E-06 0
677 -28 -8.80096E-06 0
678 -29 -8.93577E-06 0
679 -30 -9.06186E-06 0
680 -31 -9.17791E-06 0
681 -32 -9.2881E-06 0
682 -33 -9.38887E-06 0
683 -34 -9.4816E-06 0
684 -35 -9.5679E-06 0
685 -36 -9.64697E-06 0
686 -37 -9.71964E-06 0
687 -38 -9.7873E-06 0
688 -39 -9.84796E-06 0
689 -40 -9.90365E-06 0
690 -41 -9.95695E-06 0
691 -42 -1.000355E-05 0
692 -43 -1.0045E-05 0
693 -44 -1.00756E-05 0
694 -45 -1.01056E-05 0
695 -46 -1.01334E-05 0
696 -47 -1.01588E-05 0
697 -48 -1.01823E-05 0
698 -49 -1.02042E-05 0
699 -50 -1.02238E-05 0
700 -51 -1.02409E-05 0
701 -52 -1.02584E-05 0
702 -53 -1.02737E-05 0
703 -54 -1.02873E-05 0
704 -55 -1.03014E-05 0
705 -56 -1.03136E-05 0
706 -57 -1.03242E-05 0
707 -58 -1.03352E-05 0
708 -59 -1.03441E-05 0
709 -60 -1.03535E-05 0
710 -61 -1.03634E-05 0
711 -62 -1.03718E-05 0
712 -63 -1.03795E-05 0
713 -64 -1.03874E-05 0
714 -65 -1.03944E-05 0
715 -66 -1.04015E-05 0
716 -67 -1.0408E-05 0
717 -68 -1.04152E-05 0
